Name,Population_2022
AL,5074296
AZ,7359197
AR,3045637
CA,39029342
CO,5839926
CT,3626205
DE,1018396
FL,22244823
GA,10912876
ID,1939033
IL,12582032
IN,6833037
IA,3200517
KS,2937150
KY,4512310
LA,4590241
ME,1385340
MD,6164660
MA,6981974
MI,10034113
MN,5717184
MS,2940057
MO,6177957
MT,1122867
NE,1967923
NV,3177772
NH,1395231
NJ,9261699
NM,2113344
NY,19677151
NC,10698973
ND,779261
OH,11756058
OK,4019800
OR,4240137
PA,12972008
RI,1093734
SC,5282634
SD,909824
TN,7051339
TX,30029572
UT,3380800
VT,647064
VA,8683619
WA,7785786
WV,1775156
WI,5892539
WY,581381
